2021-07-23 01:24:19,127 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139815692494592 | procn MainProcess | procd 27604
2021-07-23 01:24:19,283 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139815605495552 | procn MainProcess | procd 27604
2021-07-23 01:24:46,325 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140088288139008 | procn MainProcess | procd 27657
2021-07-23 01:24:46,351 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140088210093824 | procn MainProcess | procd 27657
2021-07-23 01:24:46,356 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140088210093824 | procn MainProcess | procd 27657
2021-07-23 01:24:46,519 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140088201701120 | procn MainProcess | procd 27657
2021-07-23 01:25:41,116 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139873936234240 | procn MainProcess | procd 27784
2021-07-23 01:25:41,120 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139873927841536 | procn MainProcess | procd 27784
2021-07-23 01:25:41,122 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139873927841536 | procn MainProcess | procd 27784
2021-07-23 01:25:41,275 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139873919448832 | procn MainProcess | procd 27784
2021-07-23 01:26:40,102 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140364663297792 | procn MainProcess | procd 28091
2021-07-23 01:26:40,110 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140364654905088 | procn MainProcess | procd 28091
2021-07-23 01:26:40,113 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140364654905088 | procn MainProcess | procd 28091
2021-07-23 01:26:40,267 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140364663297792 | procn MainProcess | procd 28091
2021-07-23 01:27:31,212 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140203309373184 | procn MainProcess | procd 28277
2021-07-23 01:27:31,226 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140203300980480 | procn MainProcess | procd 28277
2021-07-23 01:27:31,232 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140203300980480 | procn MainProcess | procd 28277
2021-07-23 01:27:31,389 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140203292587776 | procn MainProcess | procd 28277
2021-07-23 01:27:46,594 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139943112488704 | procn MainProcess | procd 28285
2021-07-23 01:27:46,599 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139943104096000 | procn MainProcess | procd 28285
2021-07-23 01:27:46,607 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139943104096000 | procn MainProcess | procd 28285
2021-07-23 01:27:46,789 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139943095703296 | procn MainProcess | procd 28285
2021-07-23 01:29:25,270 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140493890656000 | procn MainProcess | procd 28571
2021-07-23 01:29:25,276 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140493882263296 | procn MainProcess | procd 28571
2021-07-23 01:29:25,279 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140493882263296 | procn MainProcess | procd 28571
2021-07-23 01:29:25,419 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140493873870592 | procn MainProcess | procd 28571
2021-07-23 01:29:35,936 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140440997254912 | procn MainProcess | procd 28608
2021-07-23 01:29:35,947 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140440988862208 | procn MainProcess | procd 28608
2021-07-23 01:29:35,949 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140440988862208 | procn MainProcess | procd 28608
2021-07-23 01:29:36,205 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140440997254912 | procn MainProcess | procd 28608
2021-07-23 01:30:11,242 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140388096546560 | procn MainProcess | procd 28757
2021-07-23 01:30:11,253 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140388088153856 | procn MainProcess | procd 28757
2021-07-23 01:30:11,256 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140388088153856 | procn MainProcess | procd 28757
2021-07-23 01:30:11,401 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140388079761152 | procn MainProcess | procd 28757
2021-07-23 01:30:37,498 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140214299191040 | procn MainProcess | procd 28828
2021-07-23 01:30:37,500 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 140214290798336 | procn MainProcess | procd 28828
2021-07-23 01:30:37,502 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140214290798336 | procn MainProcess | procd 28828
2021-07-23 01:30:37,656 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140214282405632 | procn MainProcess | procd 28828
2021-07-23 01:31:12,406 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139913167132416 | procn MainProcess | procd 28882
2021-07-23 01:31:12,433 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139913158739712 | procn MainProcess | procd 28882
2021-07-23 01:31:12,442 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139913158739712 | procn MainProcess | procd 28882
2021-07-23 01:31:12,562 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139913150347008 | procn MainProcess | procd 28882
2021-07-23 01:31:36,104 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139694877337344 | procn MainProcess | procd 28924
2021-07-23 01:31:36,111 --- [general] => INFO:20 (BASIC commands ping LOADED.) | thn basic_commands_thread | thd 139694868944640 | procn MainProcess | procd 28924
2021-07-23 01:31:36,118 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139694868944640 | procn MainProcess | procd 28924
2021-07-23 01:31:36,302 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139694860551936 | procn MainProcess | procd 28924
2021-07-23 01:47:58,862 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139640403769088 | procn MainProcess | procd 32265
